R470,X002,ELTINGVILLE PK,Z,SRT,40.5446,-74.164581
R544,PTH02,HARRISON,1,PTH,40.738879,-74.155533
R165,S102,TOMPKINSVILLE,1,SRT,40.636948,-74.074824
R070,S101,ST. GEORGE,1,SRT,40.643738,-74.073622
R070,S101A,ST. GEORGE,1,SRT,40.643738,-74.073622
R552,PTH03,JOURNAL SQUARE,1,PTH,40.732102,-74.063915
R551,PTH04,GROVE STREET,1,PTH,40.719876,-74.042616
R543,PTH05,EXCHANGE PLACE,1,PTH,40.716737,-74.033024
R216,C027,BAY RIDGE-95 ST,R,BMT,40.616624,-74.030964
R216,C028,BAY RIDGE-95 ST,R,BMT,40.616624,-74.030964
R215,C025,86 ST,R,BMT,40.622715,-74.028368
R215,C026,86 ST,R,BMT,40.622715,-74.028368
R214,C024,77 ST,R,BMT,40.629702,-74.025514
R213,C023,BAY RIDGE AVE,R,BMT,40.634945,-74.023411
R212,C021,59 ST,NR,BMT,40.641426,-74.017972
R212,C022,59 ST,NR,BMT,40.641426,-74.017972
R041,R201,BOWLING GREEN,45,IRT,40.704782,-74.014099
R041,R200A,BOWLING GREEN,45,IRT,40.704782,-74.014099
R042,R202,BOWLING GREEN,45,IRT,40.704782,-74.014099
R233,C020,53 ST,R,BMT,40.644959,-74.014034
R304,R103,RECTOR ST,1,IRT,40.70784,-74.013691
R304,R102,RECTOR ST,1,IRT,40.70784,-74.013691
R227,A055,RECTOR ST,R,BMT,40.707222,-74.013391
R227,A054,RECTOR ST,R,BMT,40.707222,-74.013391
R076,MCC07,2 BDWY CUST SRV,45,IRT,40.704591,-74.013273
R043,R203,WALL ST,45,IRT,40.707466,-74.011867
R043,R203A,WALL ST,45,IRT,40.707466,-74.011867
R043,R204,WALL ST,45,IRT,40.707466,-74.011867
R043,R204A,WALL ST,45,IRT,40.707466,-74.011867
R390,D002,8 AVE,N,BMT,40.635011,-74.011717
R305,R107,CORTLANDT ST,1,IRT,40.710454,-74.011324
R305,R106,CORTLANDT ST,1,IRT,40.710454,-74.011324
R305,R108,CORTLANDT ST,1,IRT,40.710454,-74.011324
R305,R109,CORTLANDT ST,1,IRT,40.710454,-74.011324
R088,A050,CORTLANDT ST,R,BMT,40.710662,-74.011052
R088,A052,CORTLANDT ST,R,BMT,40.710662,-74.011052
R088,A051,CORTLANDT ST,R,BMT,40.710662,-74.011052
R088,A053,CORTLANDT ST,R,BMT,40.710662,-74.011052
R125,A083,BROAD ST,JZ,BMT,40.706539,-74.011052
R125,A084,BROAD ST,JZ,BMT,40.706539,-74.011052
R125,A085,BROAD ST,JZ,BMT,40.706539,-74.011052
R540,PTH08,PATH WTC,1,PTH,40.711638,-74.010708
R540,PTH21,PATH WTC 2,1,PTH,40.711638,-74.010708
R232,C019,45 ST,R,BMT,40.648866,-74.010086
R029,N094,WORLD TRADE CTR,23ACE,IND,40.712557,-74.009807
R030,R116,CHAMBERS ST,123,IRT,40.715436,-74.009335
R027,R111,WALL ST,23,IRT,40.706864,-74.009056
R027,R110,WALL ST,23,IRT,40.706864,-74.009056
R027,R112,WALL ST,23,IRT,40.706864,-74.009056
R027,R112A,WALL ST,23,IRT,40.706864,-74.009056
R029,R115,PARK PLACE,23ACE,IRT,40.713061,-74.008777
R029,N091,CHAMBERS ST,ACE23,IND,40.71433,-74.008563
R029,N092,CHAMBERS ST,ACE23,IND,40.71433,-74.008563
R002,A077,FULTON ST,ACJZ2345,BMT,40.709938,-74.007983
R002,A081,FULTON ST,ACJZ2345,BMT,40.709938,-74.007983
R002,A082,FULTON ST,ACJZ2345,BMT,40.709938,-74.007983
R014,N095,FULTON ST,ACJZ2345,IND,40.709938,-74.007983
R014,R205,FULTON ST,ACJZ2345,IRT,40.709938,-74.007983
R014,R206,FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
R014,R208,FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
R014,R205A,FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
R028,R113A,FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
R028,R113,FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
R028,R114,FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
R087,A047,MURRAY ST-B'WAY,R,BMT,40.713086,-74.007232
R343,R117,FRANKLIN ST,1,IRT,40.719323,-74.006953
R343,R118,FRANKLIN ST,1,IRT,40.719323,-74.006953
R320,R119,CANAL ST,1,IRT,40.722819,-74.006267
R320,R120,CANAL ST,1,IRT,40.722819,-74.006267
R391,D003,FT HAMILTON PKY,N,BMT,40.631428,-74.005387
R391,D004,FT HAMILTON PKY,N,BMT,40.631428,-74.005387
